mpa_name,date,bottomT,long_dd,lat_dd,long_approx,lat_approx
Point Sur SMR,1993-01-01,11.462843723595142,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-02,11.53169348090887,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-03,11.598345905542374,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-04,11.607135236263275,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-05,11.583697021007538,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-06,11.585894353687763,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-07,11.618854343891144,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-08,11.687704101204872,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-09,11.693563655018806,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-10,11.629108563065529,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-11,11.544145032763481,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-12,11.505325488746166,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-13,11.536820590496063,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-14,11.6584063321352,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-15,11.738975197076797,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-16,11.757286302745342,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-17,11.79757073521614,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-18,11.831263169646263,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-19,11.847376942634583,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-20,11.859828494489193,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-21,11.83785516768694,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-22,11.82613606005907,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-23,11.8056276217103,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-24,11.761680968105793,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-25,11.697958320379257,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-26,11.643025003373623,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-27,11.615192122757435,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-28,11.634968116879463,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-29,11.656208999454975,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-30,11.665730774402618,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-01-31,11.683309435844421,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-02-01,11.716269426047802,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-02-02,11.778527185320854,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-02-03,11.848109386861324,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-02-04,11.901577815413475,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-02-05,12.03048799932003,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-02-06,12.192358173429966,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-02-07,12.302224807441235,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-02-08,12.445783875882626,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-02-09,12.573229171335697,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-02-10,12.610583826899529,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-02-11,12.516098521649837,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-02-12,12.403302110731602,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-02-13,12.307351917028427,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-02-14,12.205542169511318,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-02-15,12.089815981686115,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-02-16,11.968230240046978,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-02-17,11.911099590361118,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-02-18,12.031220443546772,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-02-19,12.282448813319206,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,1993-02-20,12.534409627318382,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
